nodeI;parentId;name;weight
1;0;uka;0
2;1;algo;0
3;2;util;0
4;3;GYList.java;947
5;3;datastructures;0
6;5;parasitic;0
7;6;SlotData.java;1111
8;6;SlotDisposer.java;3247
9;6;SlotObject.java;1099
10;6;package-info.java;102
11;5;Triple.java;1030
12;5;package-info.java;92
13;5;Pair.java;968
14;3;MappedNodeCursor.java;2600
15;3;HTMLString.java;709
16;3;package-info.java;77
17;3;GYCursor.java;460
18;3;ColorProvider.java;5935
19;3;IntHashtable.java;10594
20;2;external;0
21;20;CSVCodec.java;9995
22;20;SpringUtilities.java;8183
23;20;package-info.java;81
24;20;ExtensionFileFilter.java;9977
25;20;JButtonGroup.java;5731
26;2;decomposition;0
27;26;HierarchicalNestedDecomposition.java;3642
28;26;HierarchicalNestedDecompositionFactory.java;989
29;26;CoreDecompositionFactory.java;5866
30;26;package.html;128
31;26;package-info.java;86
32;2;io;0
33;32;EdgeAttribute.java;1809
34;32;GWParameterParser.java;1415
35;32;GWIOHandler.java;38102
36;32;GWParameterEncoder.java;1033
37;32;GraphConverter.java;2398
38;32;BriteInputHandler.java;3183
39;32;Helper4IO.java;7632
40;32;PDFIOHandler.java;4543
41;32;Bzip2GraphMLIOHandler.java;2816
42;32;Helper4GraphMLIO.java;9337
43;32;Helper4SVG.java;2141
44;32;LineParser.java;709
45;32;TriaOutputHandler.java;2030
46;32;package-info.java;75
47;32;InetInputHandler.java;2887
48;32;NodeAttribute.java;1808
49;2;layout;0
50;49;spectral;0
51;50;package-info.java;88
52;50;SpectralLayouter.java;4185
53;49;BarycentricLayouter.java;5257
54;49;Helper4Layouts.java;16698
55;49;package-info.java;79
56;2;clustering;0
57;56;ClusteringListener.java;4799
58;56;io;0
59;58;ClusteringIOHandler.java;7412
60;58;ClusteringIOException.java;656
61;58;XMLHandler.java;6618
62;56;layout;0
63;62;NoLayout.java;324
64;62;Circle.java;736
65;62;SpringEmbedder.java;422
66;56;EdgePartitionListener.java;31101
67;56;linearprogram;0
68;67;objective;0
69;68;WeightedModularityObjectiveFunction.java;1381
70;68;ModularityObjectiveFunction.java;1187
71;67;GraphObjectiveFunction.java;819
72;56;ClusterMap.java;1465
73;56;ClusteringOperationException.java;4710
74;56;DefaultListener.java;5400
75;56;ClusteringListenerList.java;9918
76;56;ClusteringReference.java;1048
77;56;Clustering.java;43997
78;56;ClusterSizeListener.java;1671
79;56;algorithms;0
80;79;ElementalOperationMinimizer.java;1203
81;79;SpectralSingleLinkage.java;1833
82;79;AlgorithmList.java;1232
83;79;Singletons.java;749
84;79;Components.java;1228
85;79;betweenness;0
86;85;edgechoosing;0
87;86;SingleEdgeChooser.java;914
88;86;EdgeChooser.java;684
89;86;RelativeEdgeChooser.java;1273
90;86;CutEdgeChooser.java;1117
91;86;EdgeComparator.java;760
92;86;MaxEdgeChooser.java;1031
93;86;SimpleEdgeChooser.java;1575
94;85;BetweennessClusterer.java;4063
95;79;GMC.java;4033
96;79;ICC.java;2621
97;79;Wrapper.java;1164
98;79;GraphCutAlgorithm.java;504
99;79;Cutter.java;936
100;79;SingleLinkage.java;3277
101;79;RandomClusterer.java;2000
102;79;RefiningWrapper.java;4137
103;79;ElementalOperationOptimizer.java;7453
104;79;greedy;0
105;104;PredictorFactory.java;176
106;104;Greedy.java;4621
107;104;EmulationPredictor.java;1072
108;104;Predictor.java;393
109;79;RandomPermutationClusterer.java;2483
110;79;blondel;0
111;110;ClusterChangeListener.java;6263
112;110;BlondelBaseListener.java;3694
113;110;Blondel.java;25640
114;79;Algorithm.java;803
115;79;ElementalOperationSimulatedAnnealing.java;1147
116;79;Genetic.java;2446
117;79;newman;0
118;117;util;0
119;118;MaximumPair.java;526
120;118;ClusterAdjacencyMatrix.java;2323
121;118;Converter.java;635
122;118;UnionFindBacktrack.java;4113
123;118;FractionOfEdgeWeights.java;1915
124;117;NewmanClusterer.java;5141
125;117;internal;0
126;125;BacktrackUpdateStrategy.java;3200
127;125;StonePitUpdateStrategy.java;1045
128;125;UpdateStrategy.java;1566
129;125;CoverageQInterface.java;13664
130;125;BoundedHeap.java;8070
131;125;DendrogrammStorage.java;15161
132;125;GenericQuotientAdapter.java;4679
133;125;QQInterface.java;1093
134;125;GenericAdditiveAdapter.java;4592
135;125;RandomBacktrackUpdateStrategy.java;1635
136;125;GraphDelta.java;1508
137;125;QInterface.java;1100
138;125;BoundedHeapOfClusterWithExtras.java;8750
139;125;GenericQuotientDeltaQMatrix.java;11499
140;125;MeasurementAdapter.java;723
141;125;ResetUpdateStrategy.java;457
142;125;PerformanceQInterface.java;9900
