nodeI;parentId;name;weight
1;0;.project;414
2;0;build;0
3;2;de;0
4;3;uka;0
5;4;algo;0
6;5;util;0
7;6;ColorProvider$ColorScale.class;1171
8;6;IntHashtableEntry.class;688
9;6;datastructures;0
10;9;parasitic;0
11;10;SlotDisposer.class;3593
12;10;SlotData.class;2563
13;10;SlotObject.class;1379
14;10;package-info.class;231
15;9;Pair.class;1448
16;9;package-info.class;221
17;9;Triple.class;1727
18;6;IntHashtable.class;5726
19;6;GYList$GYListCursorImpl.class;1069
20;6;MappedNodeCursor.class;1554
21;6;GYList.class;1199
22;6;IntHashtableEnumerator.class;1300
23;6;GYCursor.class;271
24;6;HTMLString.class;1508
25;6;package-info.class;206
26;6;ColorProvider.class;4711
27;5;external;0
28;27;SpringUtilities.class;4576
29;27;ExtensionFileFilter.class;4016
30;27;package-info.class;210
31;27;JButtonGroup.class;2973
32;27;CSVCodec.class;4431
33;5;decomposition;0
34;33;HierarchicalNestedDecomposition.class;2132
35;33;CoreDecompositionFactory.class;1058
36;33;HierarchicalNestedDecompositionFactory.class;390
37;33;CoreDecompositionFactory$CoreDecomposition.class;4113
38;33;package.html;128
39;33;package-info.class;215
40;5;io;0
41;40;BriteInputHandler.class;3707
42;40;Helper4IO.class;4717
43;40;PDFIOHandler$SVGIOHandlerThread.class;1724
44;40;Helper4SVG.class;1673
45;40;NodeAttribute.class;1097
46;40;Helper4IO$1.class;839
47;40;TriaOutputHandler.class;2769
48;40;Bzip2GraphMLIOHandler.class;2485
49;40;Helper4GraphMLIO.class;5881
50;40;LineParser.class;156
51;40;EdgeAttribute.class;1097
52;40;package-info.class;204
53;40;GWParameterEncoder.class;368
54;40;GWParameterParser.class;426
55;40;PDFIOHandler.class;3227
56;40;GWIOHandler.class;21599
57;40;InetInputHandler.class;3609
58;40;GraphConverter.class;3109
59;5;layout;0
60;59;Helper4Layouts.class;9440
61;59;BarycentricLayouter.class;3542
62;59;spectral;0
63;62;SpectralLayouter.class;2797
64;62;package-info.class;217
65;59;package-info.class;208
66;5;clustering;0
67;66;ClusterMap.class;1368
68;66;Cluster.class;3459
69;66;ClusteringListener.class;2320
70;66;ClusteringReference.class;592
71;66;EdgePartitionListener$ClusterInfo.class;673
72;66;EdgePartitionListener.class;15487
73;66;io;0
74;73;XMLHandler.class;8052
75;73;ClusteringIOException.class;1073
76;73;ClusteringIOHandler.class;8815
77;66;DefaultListener.class;2920
78;66;layout;0
79;78;SpringEmbedder.class;840
80;78;Circle.class;1144
81;78;NoLayout.class;610
82;66;linearprogram;0
83;82;GraphObjectiveFunction.class;219
84;82;objective;0
85;84;ModularityObjectiveFunction.class;961
86;84;WeightedModularityObjectiveFunction.class;1029
87;66;ClusteringOperationException.class;6277
88;66;ClusteringListenerList.class;7517
89;66;ClusterSizeListener.class;2414
90;66;algorithms;0
91;90;RandomPermutationClusterer.class;2345
92;90;ElementalOperationOptimizer.class;5352
93;90;Wrapper.class;754
94;90;betweenness;0
95;94;edgechoosing;0
96;95;MaxEdgeChooser.class;1527
97;95;SingleEdgeChooser.class;1337
98;95;EdgeChooser.class;270
99;95;RelativeEdgeChooser.class;1588
100;95;CutEdgeChooser.class;1679
101;95;SimpleEdgeChooser.class;1861
102;95;EdgeComparator.class;1034
103;94;BetweennessClusterer.class;4141
104;90;Algorithm.class;188
105;90;SingleLinkage.class;2750
106;90;RefiningWrapper.class;3300
107;90;ElementalOperationSimulatedAnnealing.class;1356
108;90;ElementalOperationMinimizer.class;1149
109;90;ICC.class;1776
110;90;GMC$ClusterCountIndex$Factory.class;1033
111;90;RandomClusterer.class;2026
112;90;GraphCutAlgorithm.class;989
113;90;Components.class;1061
114;90;Genetic.class;3851
115;90;LargeCluster.class;661
116;90;Cutter.class;1274
117;90;Singletons.class;615
118;90;GMC$ClusterCountIndex.class;1914
119;90;GMC.class;1640
120;90;greedy;0
121;120;Greedy$Pair.class;693
122;120;Greedy.class;7242
123;120;EmulationPredictor$Factory.class;1014
124;120;PredictorFactory.class;266
125;120;Predictor.class;607
126;120;Predictor$MergeResult.class;700
127;120;EmulationPredictor.class;2086
128;90;blondel;0
129;128;Blondel$StoppingCriteria.class;1296
130;128;ClusterChangeListener.class;6323
131;128;Blondel$NodeOrderStrategies.class;1413
132;128;Blondel.class;20591
133;128;Blondel$HierarchyLevel.class;1995
134;128;BlondelBaseListener.class;3713
135;128;Blondel$UpdatePolicy.class;1319
136;90;MCL$MCLCore.class;6083
137;90;AlgorithmList.class;1456
138;90;SpectralSingleLinkage.class;1463
139;90;newman;0
140;139;util;0
141;140;FractionOfEdgeWeights.class;3325
142;140;ClusterAdjacencyMatrix.class;3036
143;140;Converter.class;1826
144;140;UnionFindBacktrack.class;2476
145;140;MaximumPair.class;706
146;139;NewmanClusterer.class;5576
147;139;NewmanClusterer$DendrogramWindow.class;1312
148;139;internal;0
149;148;GraphDelta.class;2201
150;148;BoundedHeap.class;5928
151;148;StonePitUpdateStrategy.class;2563
152;148;BoundedHeapOfClusterWithExtras$dataType.class;1032
153;148;DendrogrammStorage$MyListener.class;1854
154;148;CoverageQInterface.class;10709
155;148;BoundedHeap$dataType.class;1027
156;148;GenericAdditiveDeltaQMatrix.class;8017
157;148;GenericDeltaQMatrix.class;782
158;148;RandomBacktrackUpdateStrategy.class;3171
159;148;BoundedHeapOfClusterWithExtras.class;5992
160;148;QInterface.class;1052
161;148;PerformanceQInterface.class;9296
162;148;GenericAdditiveAdapter.class;4873
163;148;GenericQuotientDeltaQMatrix.class;10850
164;148;BacktrackUpdateStrategy.class;5057
165;148;DendrogrammStorage.class;14023
166;148;MeasurementAdapter.class;464
167;148;UpdateStrategy.class;2128
168;148;ResetUpdateStrategy.class;780
169;148;DendrogrammStorage$MergeInfo.class;1001
170;148;QQInterface.class;1004
171;148;GenericQuotientAdapter.class;4833
172;90;MCL.class;1476
173;66;visualization;0
174;173;BorderColorizer.class;3921
175;173;Grouping.class;3940
176;173;SingletonExtractor.class;1169
177;173;Labeller$LabelType.class;1312
178;173;Graph2DFacade.class;3853
179;173;Graph2DVisualizer.class;214
180;173;LargeClusterExtractor.class;1221
181;173;EdgeWeightVisualizer.class;685
182;173;NoVisualization.class;749
183;173;Shapifier.class;3828
184;173;Labeller.class;4191
185;173;LabelExtractor.class;2510
186;173;NodeColorizer.class;3615
187;173;Graph2DExtractor.class;225
188;66;operators;0
189;188;Product.class;2863
190;188;Operator.class;405
191;188;Coarse.class;1201
192;66;generators;0
193;192;EmbeddedClusteredGraph.class;2827
194;192;GeometricClusteredGraph.class;5415
195;192;attractors;0
196;195;CenterlessAttractor.class;1003
197;195;Attractor.class;1789
198;192;randomCluster;0
199;198;SignificantGaussianClusteredGraph.class;990
200;198;EquiPartitionClusteredGraph.class;887
201;198;GaussianClusteredGraph.class;805
202;198;RandomClusteredGraph.class;2406
203;198;DongenClusteredGraph.class;841
204;198;MultiGaussianClusteredGraph.class;909
205;192;utils;0
206;205;PartitionGenerator.class;3219
207;192;ClusteredGraph.class;1222
208;66;layouts;0
209;208;package-info.class;136
210;208;Layouter.class;1031
211;66;package-info.class;128
212;66;comparison;0
213;212;ConfusionMatrix$ConfusionListener.class;1748
